,fileIdentifier,source,license,fileType,sha256,metadata
0,https://github.com/iitiansd/AR-Institute-GEO-Location/blob/d2c8a5a87600a87c7043af4fed4667b020a60eff/AR-Geo location/models/ccd.gltf,github,,gltf,aac5c4f71125f9183b8bbf359691489b7a9ed696b493a8e396b2abcf4578762a,{}
1,https://github.com/Phipson/SyntheticShapeShifter/blob/189901ee42e2bcc74d81285382642834f7a72148/Assets/Capstone/Scenes/CharacterStuff/GrannyWolfResources/Mixamo/GrannyWolf@idle.fbx,github,,fbx,4be8a7f1b5b50ffa78c757e33ce0eb7e6a7f519f6018c6107a70b8ff37dbba70,{}
2,https://github.com/megat69/ProjectRebirth/blob/2de06e63bee73a7efa37dc37f3ca552d5f97709a/assets/water_can.obj,github,MIT License,obj,38c6785d5cc593e6012d4dcdbb5586736501cf0c06edd636ee9f3b1e9550f6cc,{}
3,https://github.com/cellphone-cmyk/miHoYoTest/blob/58b943601dbcc35982483180f4f273620d44cdba/Assets/Resource/2Handed_Hammer_Set/Animations/Humanoid/hit_head_right.fbx,github,,fbx,a7a1957a9bdf9ee223302fb53e7dabf34f02ead84ae1c73d10af55ea37846f66,{}
4,https://github.com/dededec/TFM_Esada/blob/5d82835659ccdd655a85964a2f4b688d58f7d2f3/Assets/TFMEsada/Objects/Props/SillaARREGLO(1).glb,github,,glb,0859233e43aa22f720b0bcc6f081708c1c391bcb15a44dda4a986535619f492c,{}
5,https://github.com/GAVLab/gavlab_atrv/blob/b1cc961fb4f875ff18add7969cb09a47ee2545dd/gavlab_atrv_description/meshes/atrv_chassis.dae,github,,dae,1268a503c822970b7094e9e66b286fb1f6c7fac9d05c9e10868911d1ad128f0b,{}
6,https://github.com/arngeo1993/UI-Programming-Cant-Escape-Games-/blob/c400d2ade884d0c0de12e3a41105851033b6c3d2/Albot/Assets/Models/TestWalk.fbx,github,,fbx,d2094ce12511f1de7b2891d615b4bd2a37434d6de77e8affab8ccae099f3496e,{}
8,https://github.com/dg-unibe/Business-Management-Simulation/blob/eff45d30895464a40d9d421d4e160254936c609a/Business-Management-Simulation-main/Business Management Simulation NEW/Assets/Characters/Contents/Mesh/FemaleIdle.fbx,github,,fbx,9d3b8f627885b121607e9cf7aba4ce99b48f4e7aa7f356eadd7a90052fd77aa4,{}
9,https://github.com/taeyoung1472/T_2022_10_TeamPongPong_NeonTower/blob/df19e7b97aff3cd8a29f5dd1a356d0769deafb98/Assets/02.Asset/EnemyAssets/Light Hearted Tech/SentryRobot/Art/Meshes/Enemy_Turret.fbx,github,,fbx,c71425457f2803100e82146dc96e08a1ef0e7c0e7a40743baa3003a7eddb545b,{}
10,https://github.com/idelc074/FD22/blob/a1bb6dc781f034530c34ca2957d030738df7a8f9/Prototype/Assets/Table.blend,github,,blend,184d0d0506f2ba6e20208020be1076fffda33e35bf702eadb2d5f89f08fa2969,{}
